author_login,committer_login
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
axboe,axboe
None,None
pcacjr,pcacjr
axboe,axboe
None,djwong
awilliam,awilliam
tomba,tomba
axboe,axboe
None,axboe
None,axboe
None,None
None,None
None,None
None,None
tiwai,tiwai
hubcapsc,hubcapsc
rostedt,rostedt
None,None
fvincenzo,mpe
None,mpe
legoater,mpe
chleroy,mpe
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,broonie
tititiou36,broonie
jwrdegoede,broonie
broonie,ctmarinas
None,ctmarinas
willdeacon,ctmarinas
None,bonzini
cujomalainey,broonie
bonzini,bonzini
None,jgross1
None,jgross1
mpe,mpe
daveyoung,daveyoung
None,None
None,None
None,None
montjoie,airlied
montjoie,airlied
montjoie,airlied
montjoie,airlied
montjoie,airlied
airlied,airlied
None,djwong
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,None
torvalds,torvalds
groeck,Lyude
torvalds,torvalds
None,axboe
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,None
None,davem330
None,davem330
None,davem330
tiwai,tiwai
vladimiroltean,davem330
None,davem330
None,davem330
None,davem330
davem330,davem330
axboe,axboe
torvalds,torvalds
torvalds,torvalds
None,axboe
ljymonk,ljymonk
ljymonk,ljymonk
ljymonk,ljymonk
ljymonk,ljymonk
ljymonk,ljymonk
None,None
None,None
torvalds,torvalds
None,None
None,None
None,None
None,None
None,None
ljymonk,ljymonk
None,axboe
None,axboe
None,axboe
None,axboe
None,axboe
None,axboe
keithbusch,keithbusch
isilence,axboe
JackieLiu1,axboe
JackieLiu1,axboe
axboe,axboe
axboe,axboe
axboe,axboe
None,broonie
w-simon,broonie
None,broonie
mattrope,mattrope
jdelvare,jdelvare
jdelvare,jdelvare
None,marckleinebudde
None,marckleinebudde
jhovold,marckleinebudde
hogander-unikie,marckleinebudde
sriramdash,marckleinebudde
None,marckleinebudde
tiwai,tiwai
axboe,axboe
osandov,djwong
osandov,djwong
axboe,axboe
ebiggers,axboe
axboe,axboe
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
sudipm-mukherjee,sudipm-mukherjee
sudipm-mukherjee,sudipm-mukherjee
None,None
ColinIanKing,ColinIanKing
torvalds,torvalds
jgross1,aegl
torvalds,torvalds
torvalds,torvalds
None,awilliam
deepa-hub,deepa-hub
piastry,piastry
keithbusch,keithbusch
None,davem330
Vic063,davem330
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
davem330,davem330
None,None
None,None
None,None
congwang,rostedt
None,None
None,None
axboe,axboe
None,None
None,None
None,None
None,None
LorenzoBianconi,LorenzoBianconi
None,None
w-simon,eballetbo
None,None
aurel32,borkmann
ickle,ickle
None,ummakynes
None,None
None,None
jgross1,jgross1
jgross1,jgross1
ColinIanKing,jgross1
jgross1,jgross1
torvalds,torvalds
torvalds,torvalds
None,None
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
airlied,airlied
airlied,airlied
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
davem330,davem330
None,davem330
None,davem330
hkallweit,davem330
hkallweit,davem330
hkallweit,davem330
None,torvalds
None,torvalds
krzk,torvalds
None,torvalds
None,torvalds
hao-lee,torvalds
None,torvalds
yang-shi,torvalds
ColinIanKing,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
yeyunfeng-dev,torvalds
None,torvalds
xiongzhongjiang,torvalds
yhuang-intel,torvalds
yhuang-intel,torvalds
xiongzhongjiang,torvalds
yeyunfeng-dev,torvalds
liu-song-6,torvalds
kiryl,torvalds
yang-shi,torvalds
xiongzhongjiang,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
psarna,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
yeyunfeng-dev,torvalds
PinoTsao,torvalds
PinoTsao,torvalds
None,torvalds
None,torvalds
vwool,torvalds
hnaz,torvalds
hnaz,torvalds
hnaz,torvalds
hnaz,torvalds
hnaz,torvalds
yang-shi,torvalds
aryabinin,torvalds
None,torvalds
hao-lee,torvalds
gormanm,torvalds
gormanm,torvalds
None,torvalds
daxtens,torvalds
daxtens,torvalds
daxtens,torvalds
daxtens,torvalds
urezki,torvalds
roxell,torvalds
urezki,torvalds
urezki,torvalds
urezki,torvalds
feixiang1999,torvalds
None,torvalds
iii-i,torvalds
vitkyrka,torvalds
davidhildenbrand,torvalds
davidhildenbrand,torvalds
bjdooks-ct,torvalds
davidhildenbrand,torvalds
davidhildenbrand,torvalds
davidhildenbrand,torvalds
joelagnel,torvalds
None,torvalds
None,None
borkmann,borkmann
None,None
thomashvmw,torvalds
thomashvmw,torvalds
yang-shi,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
None,torvalds
koct9i,torvalds
None,torvalds
joelagnel,torvalds
joelagnel,torvalds
None,torvalds
hnaz,torvalds
cdown,torvalds
shakeelb,torvalds
hao-lee,torvalds
Twistack,torvalds
Twistack,torvalds
Twistack,torvalds
bjdooks-ct,torvalds
Saurav-Girepunje,torvalds
None,torvalds
ColinIanKing,torvalds
heicarst,heicarst
masahir0y,masahir0y
None,None
None,None
dbaluta,dbaluta
dbaluta,dbaluta
None,None
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,davem330
jpirko,davem330
neilbrown,neilbrown
trondmy,trondmy
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
ummakynes,ummakynes
None,ummakynes
nathanchance,ummakynes
None,ummakynes
None,ummakynes
torvalds,torvalds
andersson,andersson
None,davem330
torvalds,torvalds
grygoriyS,davem330
None,davem330
torvalds,torvalds
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
gerald-schaefer,gerald-schaefer
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
heicarst,heicarst
heicarst,heicarst
hfreude,hfreude
iii-i,iii-i
jcmvbkbc,jcmvbkbc
jcmvbkbc,jcmvbkbc
jcmvbkbc,jcmvbkbc
None,davem330
None,None
None,None
None,None
None,None
None,None
None,None
None,None
bonzini,bonzini
wainersm,bonzini
axboe,axboe
captain5050,captain5050
None,None
perexg,tiwai
kv2019i,tiwai
kv2019i,tiwai
None,None
chleroy,mpe
None,mpe
khfeng,khfeng
khfeng,khfeng
cdleonard,cdleonard
cdleonard,cdleonard
cdleonard,cdleonard
cdleonard,cdleonard
krzk,krzk
krzk,krzk
None,None
None,None
krzk,krzk
None,None
shenki,richardweinberger
krzk,krzk
None,None
jwrdegoede,jwrdegoede
fomichev,borkmann
spandruvada,spandruvada
None,ummakynes
davem330,davem330
None,davem330
None,davem330
None,davem330
None,davem330
WillLester,davem330
melver,melver
davem330,davem330
kuba-moo,davem330
kuba-moo,davem330
kuba-moo,davem330
kuba-moo,davem330
kuba-moo,davem330
kuba-moo,davem330
kuba-moo,davem330
kuba-moo,davem330
None,None
None,borkmann
None,None
tiwai,tiwai
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
zhengbin13,axboe
zhengbin13,axboe
zhengbin13,axboe
rouming,axboe
